Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
7.9824,3.4041747404,1035.8805202724,550.1744987454,0.3940222333,1.1783233143,1.5247133459,81935.7614781612,-0.1631162445,0.1007929205,0.0056591882,-0.0015128303
7.9966625,3.4027020614,1035.4098947942,551.2151657739,0.3947135322,1.1804666086,1.5302251521,82178.4941287746,-0.2224379199,0.0548032576,0.0028619471,-0.0003711325
8.010925,3.4012293824,1034.939269316,552.2461097731,0.3954045642,1.1826095173,1.5357465382,82421.2446920718,-0.23604915,-0.0083092239,-0.0004666414,-3.17477816660888E-005
8.0251875,3.3997567035,1034.4686438378,553.2666174932,0.3960953279,1.1847520374,1.5412775015,82664.0109368196,-0.2007525086,-0.0668445908,-0.0036367998,-0.0005861396
8.03945,3.3982840245,1033.9980183596,554.2774797101,0.3967858223,1.1868941661,1.546818039,82906.7906352848,-0.1257968638,-0.1006479275,-0.0060029339,-0.0018196972
8.0537125,3.3968113455,1033.5273928814,555.2808869777,0.3974760461,1.1890359006,1.5523681479,83149.581575391,-0.0303634366,-0.0969569814,-0.0071270281,-0.003277036
8.067975,3.3953386665,1033.0567674032,556.2801008136,0.3981659983,1.1911772382,1.5579278245,83392.3815654937,0.0616504168,-0.0541746524,-0.0068855989,-0.004397615
8.0822375,3.3938659875,1032.5861419251,557.2789464983,0.3988556778,1.1933181765,1.5634970652,83635.188430532,0.1281172771,0.017516111,-0.0054911723,-0.0046834492
8.0965,3.3923933085,1032.1155164469,558.2812070764,0.3995450836,1.1954587128,1.5690758655,83878.000002273,0.154636399,0.0988988085,-0.0034228567,-0.0038512869
8.1107625,3.3909206295,1031.6448909687,559.2900181982,0.4002342145,1.1975988446,1.5746642207,84120.8141102954,0.1382965297,0.1670858269,-0.0012858965,-0.0019255545
8.125025,3.3894479505,1031.1742654905,560.307364809,0.4009230696,1.1997385693,1.5802621258,84363.6285780482,0.0881868629,0.2019993891,0.0003600091,0.0007552433
8.1392875,3.3879752715,1030.7036400123,561.3327878286,0.4016117607,1.2018782226,1.5858695761,84606.4888790771,0.0225225688,0.1921723481,0.0011550816,0.0036217791
8.15355,3.3865025926,1030.2330145341,562.363882788,0.4023004656,1.2040183372,1.5914865695,84849.4684046159,-0.0368408293,0.138190885,0.001032897,0.0060250868
8.1678125,3.3850299136,1029.7623890559,563.3984826477,0.4029891873,1.2061589228,1.5971131054,85092.5670689719,-0.0709320557,0.0525671251,0.0002257284,0.0074118495
8.182075,3.3835572346,1029.2917635777,564.4334433675,0.4036779264,1.2082999822,1.6027491831,85335.7838197449,-0.0691957903,-0.0437003057,-0.0008182325,0.0074735245
8.1963375,3.3820845556,1028.8211380995,565.4651702241,0.4043666836,1.2104415181,1.6083948028,85579.1176039501,-0.0325040049,-0.1269409723,-0.0015800792,0.0062278648
8.2106,3.3806118766,1028.3505126213,566.4902288844,0.4050554594,1.2125835334,1.6140499649,85822.5673584951,0.0272049569,-0.1773505646,-0.0016347575,0.0040101384
8.2248625,3.3791391976,1027.8798871431,567.5059275446,0.4057442546,1.2147260308,1.6197146702,86066.1320046331,0.0905400599,-0.1843873476,-0.0007865475,0.0013771085
8.239125,3.3776665186,1027.409261665,568.5107804479,0.4064330697,1.2168690129,1.6253889198,86309.8104502315,0.1364616579,-0.1494937803,0.0008643479,-0.0010483174
8.2533875,3.3761938396,1026.9386361868,569.5047784878,0.4071219053,1.2190124824,1.6310727149,86553.6015994674,0.1485779392,-0.085383762,0.0029437293,-0.0027470953
8.26765,3.3747211606,1026.4680107086,570.4894200116,0.4078107619,1.2211564418,1.6367660565,86797.5043650325,0.1200926954,-0.012129207,0.0049075779,-0.0034401865
8.2819125,3.3732484816,1025.9973852304,571.4674922222,0.4084996403,1.223300894,1.6424689456,87041.517676886,0.0559562325,0.0487954222,0.0061981622,-0.0031524981
8.296175,3.3717758027,1025.5267597522,572.4426356387,0.409188541,1.2254458418,1.6481813825,87285.6404836919,-0.0284128599,0.0807647015,0.0064065331,-0.0021875299
8.3104375,3.3703031237,1025.056134274,573.4187631023,0.4098774647,1.2275912881,1.6539033673,87529.8717469742,-0.1114654141,0.0767263411,0.0053939445,-0.0010217455
8.3247,3.3688304447,1024.5855087958,574.3994320358,0.4105664122,1.229737236,1.6596348998,87774.2104326411,-0.1716539398,0.0410298097,0.0033366896,-0.0001510336
8.3389625,3.3673577657,1024.1148833176,575.38727742,0.4112553841,1.2318836882,1.6653759793,88018.6555044711,-0.1935688483,-0.01215223,0.0006811973,0.000064625
